,Berichtsstart,Berichtsende,Anzeigenname,Auslieferung der Werbeanzeige,Name der Anzeigengruppe,Gebot,Art des Gebots,Budget der Anzeigengruppe,Art des Budgets für Anzeigengruppe,Letzte bedeutende Änderung,Attributionseinstellung,Ergebnisse,Indikator für Ergebnisse,Reichweite,Impressionen,Kosten pro Ergebnis,Ranking Qualität,Ranking Interaktionsrate,Ranking Conversion Rate,Ausgegebener Betrag (EUR),Ende,Kampagnenname,Kampagnen-ID,ID der Anzeigengruppe,Anzeigen-ID,Auslieferung der Anzeigengruppe,CPC (alle) (EUR),CTR (alle),Klicks (alle),Leads,Website-Leads,Prefix,Detail,Gender,Lookalike,Age,Placement,Numm,Lng,Interest,id
0,2022-08-14,2022-08-14,KW_36_Copy+Image_4_5_04@1x.jpg,not_delivering,GG_PKV / finstone AV / TOF / 20-40 / MW / DE / Premium Placement / 009,0.0,ABSOLUTE_OCPM,10,Täglich,2022-09-10T21:39:13+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG 1 / Finstone AV / ABO / 08.09.2022 / Leadgenerierung Versicherungsvermittlung,23851752244000117,23851752532180117,23851752532170117,inactive,0.0,0.0,0,,,GG,TOF,MW,LLA 1%,20-40,Premium Placement,009,DE,0,22207
1,2022-08-14,2022-08-14,00079 / Restart 27.06.2022 C,not_delivering,GG6PT / 20-40 / MW / DE / 09.08.2022 / Premium Placement / Exel. Lead 180D / CC_A,30.15,ABSOLUTE_OCPM,Kampagnenbudget wird verwendet,0,2022-08-09T10:59:29+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG_1_CBO_Restart_09.08.2022 / PKV / Leadgenerierung Versicherungsvermittlung – Copy,23851464289960117,23851464289880117,23851464289950117,inactive,0.0,0.0,0,,,GG6PT,Lead,MW,LLA 1%,20-40,Premium Placement,180D,DE,0,11548
2,2022-08-14,2022-08-14,KW_36_Copy+Image_4_5_09@1x.jpg,not_delivering,GG_PKV / finstone AV / TOF / 20-40 / MW / DE / Premium Placement / 008,0.0,ABSOLUTE_OCPM,10,Täglich,2022-09-10T21:33:14+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG 1 / Finstone AV / ABO / 08.09.2022 / Leadgenerierung Versicherungsvermittlung,23851752244000117,23851752483240117,23851752483250117,inactive,0.0,0.0,0,,,GG,TOF,MW,LLA 1%,20-40,Premium Placement,008,DE,0,18723
3,2022-08-14,2022-08-14,00079 / Restart 27.06.2022 B,not_delivering,GG6PT / 20-40 / MW / DE / 09.08.2022 / Premium Placement / Exel. Lead 180D / CC_C,30.42,ABSOLUTE_OCPM,Kampagnenbudget wird verwendet,0,2022-08-09T10:59:35+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG_1_CBO_Restart_09.08.2022 / PKV / Leadgenerierung Versicherungsvermittlung – Copy,23851464289960117,23851464289900117,23851464289940117,inactive,0.0,0.0,0,,,GG6PT,Lead,MW,LLA 1%,20-40,Premium Placement,180D,DE,0,13491
4,2022-08-14,2022-08-14,KW_36_Copy+Image_4_5_02@1x.jpg,not_delivering,GG_PKV / finstone AV / TOF / 20-40 / MW / DE / Premium Placement / 007,0.0,ABSOLUTE_OCPM,10,Täglich,0,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG 1 / Finstone AV / ABO / 08.09.2022 / Leadgenerierung Versicherungsvermittlung,23851752244000117,23851752463480117,23851752463490117,inactive,0.0,0.0,0,,,GG,TOF,MW,LLA 1%,20-40,Premium Placement,007,DE,0,41655
5,2022-08-14,2022-08-14,00079 / Restart 27.06.2022 D,not_delivering,GG6PT / 20-40 / MW / DE / 09.08.2022 / Premium Placement / Exel. Lead 180D / CC_D,30.97,ABSOLUTE_OCPM,Kampagnenbudget wird verwendet,0,2022-08-09T10:59:29+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG_1_CBO_Restart_09.08.2022 / PKV / Leadgenerierung Versicherungsvermittlung – Copy,23851464289960117,23851464289890117,23851464289930117,inactive,0.0,0.0,0,,,GG6PT,Lead,MW,LLA 1%,20-40,Premium Placement,180D,DE,0,42438
6,2022-08-14,2022-08-14,00030 / 23.02.22 / long,not_delivering,GG_PT / Lookalike 5-6% Finonova_Qualifizierte_Leads / 20-40 / MW / DE / Feed+Story / 12.07.2022 / Exel. Lead 180D,0.0,ABSOLUTE_OCPM,13,Täglich,2022-08-11T08:48:38+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,1225,1306,,–,–,–,13.83,Fortlaufend,GG_0_Lookalike_Testing_ABO / PKV / Leadgenerierung Versicherungsvermittlung,23851253234800117,23851253295710117,23851253295760117,inactive,0.768333,1.378254,18,,,GG,Lead,MW,LLA 1%,20-40,Feed,180D,DE,0,78774
7,2022-08-14,2022-08-14,KW_36_  Copy+Image_4_5_07@1x.jpg,not_delivering,GG_PKV / finstone AV / TOF / 20-40 / MW / DE / Premium Placement / 006,0.0,ABSOLUTE_OCPM,10,Täglich,2022-09-10T21:36:58+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG 1 / Finstone AV / ABO / 08.09.2022 / Leadgenerierung Versicherungsvermittlung,23851752244000117,23851752427960117,23851752427970117,inactive,0.0,0.0,0,,,GG,TOF,MW,LLA 1%,20-40,Premium Placement,006,DE,0,10293
8,2022-08-14,2022-08-14,00079 / Restart 27.06.2022 A,not_delivering,GG6PT / 20-40 / MW / DE / 09.08.2022 / Premium Placement / Exel. Lead 180D / CC_B,30.67,ABSOLUTE_OCPM,Kampagnenbudget wird verwendet,0,2022-08-09T10:59:32+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG_1_CBO_Restart_09.08.2022 / PKV / Leadgenerierung Versicherungsvermittlung – Copy,23851464289960117,23851464289860117,23851464289920117,inactive,0.0,0.0,0,,,GG6PT,Lead,MW,LLA 1%,20-40,Premium Placement,180D,DE,0,19907
9,2022-08-14,2022-08-14,KW_36_ Copy+Image_4_5_08@1x.jpg,active,GG_PKV / finstone AV / TOF / 20-40 / MW / DE / Premium Placement / 005,0.0,ABSOLUTE_OCPM,20,Täglich,2022-10-03T12:20:58+0200,7 Tage (Klick) oder 1 Tag (Aufruf),,,0,0,,–,–,–,0.0,Fortlaufend,GG 1 / Finstone AV / ABO / 08.09.2022 / Leadgenerierung Versicherungsvermittlung,23851752244000117,23851752408150117,23851752408160117,active,0.0,0.0,0,,,GG,TOF,MW,LLA 1%,20-40,Premium Placement,005,DE,0,23514
